Track,Driver,Team,GridPosition,Stint,Compound,StintLength,PitLap,AvgAirTemp,AvgTrackTemp
Chinese,ALO,Aston Martin,3.0,2,HARD,12,12.0,18.63939393939394,29.792727272727273
Chinese,ALO,Aston Martin,3.0,3,SOFT,20,24.0,18.63939393939394,29.792727272727273
Chinese,ALO,Aston Martin,3.0,4,MEDIUM,13,44.0,18.63939393939394,29.792727272727273
Chinese,LEC,Ferrari,6.0,1,MEDIUM,21,,18.63939393939394,29.792727272727273
Chinese,LEC,Ferrari,6.0,2,HARD,35,22.0,18.63939393939394,29.792727272727273
Chinese,STR,Aston Martin,11.0,1,SOFT,9,,18.63939393939394,29.792727272727273
Chinese,STR,Aston Martin,11.0,2,MEDIUM,12,10.0,18.63939393939394,29.792727272727273
Chinese,STR,Aston Martin,11.0,3,HARD,5,22.0,18.63939393939394,29.792727272727273
Chinese,STR,Aston Martin,11.0,4,MEDIUM,9,27.0,18.63939393939394,29.792727272727273
Chinese,STR,Aston Martin,11.0,5,HARD,21,36.0,18.63939393939394,29.792727272727273
Chinese,SAR,Williams,20.0,1,SOFT,12,,18.63939393939394,29.792727272727273
Chinese,SAR,Williams,20.0,2,MEDIUM,12,13.0,18.63939393939394,29.792727272727273
Chinese,SAR,Williams,20.0,3,HARD,32,25.0,18.63939393939394,29.792727272727273
Chinese,MAG,Haas F1 Team,17.0,1,HARD,27,,18.63939393939394,29.792727272727273
Chinese,MAG,Haas F1 Team,17.0,2,MEDIUM,29,28.0,18.63939393939394,29.792727272727273
Chinese,TSU,RB,19.0,1,SOFT,8,,18.63939393939394,29.792727272727273
Chinese,TSU,RB,19.0,2,MEDIUM,15,9.0,18.63939393939394,29.792727272727273
Chinese,TSU,RB,19.0,3,HARD,4,24.0,18.63939393939394,29.792727272727273
Chinese,ALB,Williams,14.0,1,MEDIUM,23,,18.63939393939394,29.792727272727273
Chinese,ALB,Williams,14.0,2,HARD,33,24.0,18.63939393939394,29.792727272727273
Chinese,ZHO,Kick Sauber,16.0,1,MEDIUM,8,,18.63939393939394,29.792727272727273
Chinese,ZHO,Kick Sauber,16.0,2,HARD,32,9.0,18.63939393939394,29.792727272727273
Chinese,ZHO,Kick Sauber,16.0,3,SOFT,16,41.0,18.63939393939394,29.792727272727273
Chinese,HUL,Haas F1 Team,9.0,1,MEDIUM,8,,18.63939393939394,29.792727272727273
Chinese,HUL,Haas F1 Team,9.0,2,HARD,48,9.0,18.63939393939394,29.792727272727273
Chinese,RIC,RB,12.0,1,MEDIUM,33,,18.63939393939394,29.792727272727273
Chinese,OCO,Alpine,13.0,1,MEDIUM,9,,18.63939393939394,29.792727272727273
Chinese,OCO,Alpine,13.0,2,HARD,47,10.0,18.63939393939394,29.792727272727273
Chinese,NOR,McLaren,4.0,1,MEDIUM,22,,18.63939393939394,29.792727272727273
Chinese,NOR,McLaren,4.0,2,HARD,34,23.0,18.63939393939394,29.792727272727273
Chinese,HAM,Mercedes,18.0,1,SOFT,9,,18.63939393939394,29.792727272727273
Chinese,HAM,Mercedes,18.0,2,MEDIUM,12,10.0,18.63939393939394,29.792727272727273
Chinese,HAM,Mercedes,18.0,3,HARD,35,22.0,18.63939393939394,29.792727272727273
Chinese,SAI,Ferrari,7.0,1,MEDIUM,17,,18.63939393939394,29.792727272727273
Chinese,SAI,Ferrari,7.0,2,HARD,39,18.0,18.63939393939394,29.792727272727273
Chinese,RUS,Mercedes,8.0,1,MEDIUM,23,,18.63939393939394,29.792727272727273
Chinese,RUS,Mercedes,8.0,2,HARD,33,24.0,18.63939393939394,29.792727272727273
Chinese,BOT,Kick Sauber,10.0,1,MEDIUM,9,,18.63939393939394,29.792727272727273
Chinese,BOT,Kick Sauber,10.0,2,HARD,11,10.0,18.63939393939394,29.792727272727273
Chinese,PIA,McLaren,5.0,1,MEDIUM,24,,18.63939393939394,29.792727272727273
Chinese,PIA,McLaren,5.0,2,HARD,32,25.0,18.63939393939394,29.792727272727273
Japanese,VER,Red Bull Racing,1.0,1,MEDIUM,34,,21.691160220994476,37.50110497237569
Japanese,VER,Red Bull Racing,1.0,2,HARD,19,35.0,21.691160220994476,37.50110497237569
Japanese,PER,Red Bull Racing,2.0,1,MEDIUM,33,,21.691160220994476,37.50110497237569
Japanese,PER,Red Bull Racing,2.0,2,HARD,20,34.0,21.691160220994476,37.50110497237569
Japanese,SAI,Ferrari,4.0,1,MEDIUM,36,,21.691160220994476,37.50110497237569
Japanese,SAI,Ferrari,4.0,2,HARD,17,37.0,21.691160220994476,37.50110497237569
Japanese,LEC,Ferrari,8.0,1,MEDIUM,26,,21.691160220994476,37.50110497237569
Japanese,LEC,Ferrari,8.0,2,HARD,27,27.0,21.691160220994476,37.50110497237569
Japanese,NOR,McLaren,3.0,1,MEDIUM,11,,21.691160220994476,37.50110497237569
Japanese,NOR,McLaren,3.0,2,HARD,42,12.0,21.691160220994476,37.50110497237569
Japanese,ALO,Aston Martin,5.0,1,SOFT,13,,21.691160220994476,37.50110497237569
Japanese,ALO,Aston Martin,5.0,2,MEDIUM,20,14.0,21.691160220994476,37.50110497237569
Japanese,ALO,Aston Martin,5.0,3,HARD,20,34.0,21.691160220994476,37.50110497237569
Japanese,RUS,Mercedes,9.0,1,MEDIUM,1,,21.691160220994476,37.50110497237569
Japanese,RUS,Mercedes,9.0,2,HARD,36,2.0,21.691160220994476,37.50110497237569
Japanese,RUS,Mercedes,9.0,3,MEDIUM,16,38.0,21.691160220994476,37.50110497237569
Japanese,PIA,McLaren,6.0,1,MEDIUM,12,,21.691160220994476,37.50110497237569
Japanese,PIA,McLaren,6.0,2,HARD,41,13.0,21.691160220994476,37.50110497237569
Japanese,HAM,Mercedes,7.0,1,MEDIUM,1,,21.691160220994476,37.50110497237569
Japanese,HAM,Mercedes,7.0,2,HARD,38,2.0,21.691160220994476,37.50110497237569
Japanese,HAM,Mercedes,7.0,3,MEDIUM,14,40.0,21.691160220994476,37.50110497237569
Japanese,TSU,RB,10.0,1,MEDIUM,1,,21.691160220994476,37.50110497237569
Japanese,TSU,RB,10.0,2,SOFT,6,2.0,21.691160220994476,37.50110497237569
Japanese,TSU,RB,10.0,3,HARD,45,8.0,21.691160220994476,37.50110497237569
Japanese,HUL,Haas F1 Team,12.0,1,SOFT,5,,21.691160220994476,37.50110497237569
Japanese,HUL,Haas F1 Team,12.0,2,HARD,47,6.0,21.691160220994476,37.50110497237569
Japanese,STR,Aston Martin,16.0,1,SOFT,12,,21.691160220994476,37.50110497237569
Japanese,STR,Aston Martin,16.0,2,MEDIUM,10,13.0,21.691160220994476,37.50110497237569
Japanese,STR,Aston Martin,16.0,3,HARD,12,23.0,21.691160220994476,37.50110497237569
Japanese,STR,Aston Martin,16.0,4,SOFT,18,35.0,21.691160220994476,37.50110497237569
Japanese,MAG,Haas F1 Team,18.0,1,MEDIUM,22,,21.691160220994476,37.50110497237569
Japanese,MAG,Haas F1 Team,18.0,2,HARD,30,23.0,21.691160220994476,37.50110497237569
Japanese,BOT,Kick Sauber,13.0,1,SOFT,6,,21.691160220994476,37.50110497237569
Japanese,BOT,Kick Sauber,13.0,2,HARD,46,7.0,21.691160220994476,37.50110497237569
Japanese,OCO,Alpine,15.0,1,SOFT,1,,21.691160220994476,37.50110497237569
Japanese,OCO,Alpine,15.0,2,HARD,32,2.0,21.691160220994476,37.50110497237569
Japanese,OCO,Alpine,15.0,3,MEDIUM,19,34.0,21.691160220994476,37.50110497237569
Japanese,GAS,Alpine,17.0,1,SOFT,1,,21.691160220994476,37.50110497237569
Japanese,GAS,Alpine,17.0,2,HARD,15,2.0,21.691160220994476,37.50110497237569
Japanese,GAS,Alpine,17.0,3,MEDIUM,16,17.0,21.691160220994476,37.50110497237569
Japanese,GAS,Alpine,17.0,4,HARD,20,33.0,21.691160220994476,37.50110497237569
Japanese,SAR,Williams,19.0,1,SOFT,1,,21.691160220994476,37.50110497237569
Japanese,SAR,Williams,19.0,2,HARD,33,2.0,21.691160220994476,37.50110497237569
Japanese,SAR,Williams,19.0,3,MEDIUM,7,35.0,21.691160220994476,37.50110497237569
Japanese,SAR,Williams,19.0,4,SOFT,11,42.0,21.691160220994476,37.50110497237569
