Season,EventName,Driver,LapNumber,TotalLaps,TyreLife,Compound,TrackStatus,StintID,LapTimeSeconds,FuelLoadKgEst,FuelCorrection,AirTemp,TrackTemp,ThermalDegProxy,MechWearProxy,LapFrac
2025,Abu Dhabi Grand Prix,ALO,1,58,2.0,MEDIUM,1,1,94.98,100.0,-3.0,26.67402597402597,31.06168831168831,1.7749536178107606,2.0051724137931033,0.017241379310344827
2025,Abu Dhabi Grand Prix,ALO,2,58,3.0,MEDIUM,1,1,90.396,98.3,-2.949,26.67402597402597,31.06168831168831,2.6624304267161407,3.0155172413793103,0.034482758620689655
2025,Abu Dhabi Grand Prix,ALO,3,58,4.0,MEDIUM,1,1,90.059,96.6,-2.8979999999999997,26.67402597402597,31.06168831168831,3.549907235621521,4.031034482758621,0.05172413793103448
2025,Abu Dhabi Grand Prix,ALO,4,58,5.0,MEDIUM,1,1,90.896,94.9,-2.847,26.67402597402597,31.06168831168831,4.437384044526901,5.051724137931034,0.06896551724137931
2025,Abu Dhabi Grand Prix,ALO,5,58,6.0,MEDIUM,1,1,90.196,93.2,-2.796,26.67402597402597,31.06168831168831,5.324860853432281,6.077586206896552,0.08620689655172414
2025,Abu Dhabi Grand Prix,ALO,6,58,7.0,MEDIUM,1,1,90.412,91.5,-2.745,26.67402597402597,31.06168831168831,6.212337662337662,7.108620689655172,0.10344827586206896
2025,Abu Dhabi Grand Prix,ALO,7,58,8.0,MEDIUM,1,1,90.319,89.8,-2.694,26.67402597402597,31.06168831168831,7.099814471243042,8.144827586206896,0.1206896551724138
2025,Abu Dhabi Grand Prix,ALO,8,58,9.0,MEDIUM,1,1,90.099,88.1,-2.643,26.67402597402597,31.06168831168831,7.987291280148423,9.186206896551724,0.13793103448275862
2025,Abu Dhabi Grand Prix,ALO,9,58,10.0,MEDIUM,1,1,90.011,86.4,-2.592,26.67402597402597,31.06168831168831,8.874768089053802,10.232758620689655,0.15517241379310345
2025,Abu Dhabi Grand Prix,ALO,10,58,11.0,MEDIUM,1,1,90.025,84.7,-2.541,26.67402597402597,31.06168831168831,9.762244897959183,11.28448275862069,0.1724137931034483
2025,Abu Dhabi Grand Prix,ALO,11,58,12.0,MEDIUM,1,1,89.8,83.0,-2.4899999999999998,26.67402597402597,31.06168831168831,10.649721706864563,12.341379310344827,0.1896551724137931
2025,Abu Dhabi Grand Prix,ALO,12,58,13.0,MEDIUM,1,1,89.969,81.3,-2.4389999999999996,26.67402597402597,31.06168831168831,11.537198515769944,13.403448275862068,0.20689655172413793
2025,Abu Dhabi Grand Prix,ALO,13,58,14.0,MEDIUM,1,1,89.968,79.6,-2.388,26.67402597402597,31.06168831168831,12.424675324675324,14.470689655172414,0.22413793103448276
